Exam Flag	Course Code	Course Name	Part	Sem
PG_SEMESTER_2Y_CBCS	747	(CBCS_PG) M.SC. COMPUTER SCIENCE	I	II
PG_SEMESTER_2Y_CBCS	748	(CBCS_PG) M.SC. DEVELOPMENT COMMUNICATION & EXTENSION DEPARTMENT OF HOME SCIENCE	I	II
PG_SEMESTER_2Y_CBCS	749	(CBCS_PG) M.SC. ELECTRONICS	I	II
PG_SEMESTER_2Y_CBCS	750	(CBCS_PG) M.SC. ENVIRONMENTAL STUDIES	I	II
PG_SEMESTER_2Y_CBCS	751	(CBCS_PG) M.SC. FOOD AND NUTRITION	I	II
PG_SEMESTER_2Y_CBCS	754	(CBCS_PG) M.SC. GEOLOGY	I	II
PG_SEMESTER_2Y_CBCS	755	(CBCS_PG) M.SC. HUMAN DEVELOPMENT AND CHILDHOOD STUDIES	I	II
PG_SEMESTER_2Y_CBCS	756	(CBCS_PG) M.SC. INFORMATICS	I	II
PG_SEMESTER_2Y_CBCS	757	(CBCS_PG) MASTER OF COMPUTER APPLICATIONS	I	II
PG_SEMESTER_2Y_CBCS	761	(CBCS_PG) MASTER OF OPERATIONAL RESEARCH	I	II
PG_SEMESTER_2Y_CBCS	764	(CBCS_PG) M.SC. RESOURCE MANAGEMENT AND DESIGN APPLICATION DEPARTMENT OF HOME SCIENCE	I	II
PG_SEMESTER_2Y_CBCS	765	(CBCS_PG) M.SC. STATISTICS	I	II
PG_SEMESTER_2Y_CBCS	766	(CBCS_PG) M.SC. ZOOLOGY	I	II
PG_SEMESTER_2Y_CBCS	767	(CBCS_PG) M.SC. FABRIC & APPAREL SCIENCE	I	II
PG_SEMESTER_2Y_CBCS	774	(CBCS_PG) MASTER OF COMMERCE	I	II
PG_SEMESTER_2Y_CBCS	777	(CBCS_PG) MBA	I	II
PG_SEMESTER_2Y_CBCS	778	(CBCS_PG) MBA- EXECUTIVE	I	II
PG_SEMESTER_2Y_CBCS	779	(CBCS_PG) MBA: (EXECUTIVE) HEALTH CARE ADMINISTRATION	I	II
PG_SEMESTER_2Y_CBCS	782	(CBCS_PG) BACHELOR OF LIBRARY AND INFORMATION SCIENCE	I	II
PG_SEMESTER_2Y_CBCS	783	(CBCS_PG) MASTER OF LIBRARY & INFORMATION SCIENCE (M.L.I.SC.)	I	II
PG_SEMESTER_2Y_CBCS	798	(CBCS_PG) MBA (HRD)	I	II
PG_SEMESTER_2Y_CBCS	799	(CBCS_PG) MBA (IB)	I	II
PG_SEMESTER_2Y_CBCS	701	(CBCS_PG) M.A. APPLIED PSYCHOLOGY	II	IV
